queue_index,person_id,sex,age,age_bucket,demographic_target,background,skin_tone,weathering_note,habitus_note,habitus_group,aesthetic_note,attractiveness_note,mix_key,front_done,side_done,back_done
50,person_080,male,46,46-80,white,Baltic European ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Baltic European ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | heavy",false,false,false
51,person_028,male,42,30-45,white,Northern European ancestry,"pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,"Northern European ancestry | pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines | mid",false,false,false
52,person_098,female,67,46-80,white,Northern European ancestry,"pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,"Northern European ancestry | pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines | lean",false,false,false
53,person_041,male,43,30-45,white,Caucasus-region ancestry with fair-to-olive complexion,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","solid build: fuller cheeks, softened jaw corners, thicker neck, and subtle under-chin fullness",mid,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,"Caucasus-region ancestry with fair-to-olive complexion | fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness | mid",false,false,false
54,person_094,female,74,46-80,white,Baltic European ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance","Baltic European ancestry | warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks | heavy",false,false,false
55,person_090,female,46,46-80,white,Central European ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","heavy-set build: broad full face, soft jawline, thick neck, and visible under-chin fullness",heavy,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Central European ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | heavy",false,false,false
56,person_049,male,35,30-45,white,Ashkenazi Jewish European ancestry,"light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"long philtrum, thin uneven lips, and asymmetrical cheek fullness","ordinary face with asymmetry, large pores, and uneven complexion","Ashkenazi Jewish European ancestry | light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture | lean",false,false,false
57,person_003,male,27,18-29 young men,hispanic_latino,Andean Latino ancestry,golden beige skin,"mild but visible outdoor sun exposure: uneven tan on forehead, nose, and cheekbones, small freckles or dark spots, realistic pores; keep the person their stated young adult age","average-light build: modest facial fullness, clear jaw contour, and medium-thin neck",mid,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,hispanic_latino | mid,true,false,false
58,person_019,male,27,18-29 young men,white,Northwestern European ancestry,"light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture","noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged","very heavy-set build: round cheeks, reduced jaw definition, broad neck, and pronounced submental fullness",heavy,"long philtrum, thin uneven lips, and asymmetrical cheek fullness","ordinary face with asymmetry, large pores, and uneven complexion","Northwestern European ancestry | light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture | heavy",false,false,false
59,person_088,female,67,46-80,white,Balkan European ancestry,"pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,"Balkan European ancestry | pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines | mid",false,false,false
60,person_067,male,60,46-80,white,mixed Northern and Southern European ancestry,"tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","very heavy-set build: round cheeks, reduced jaw definition, broad neck, and pronounced submental fullness",heavy,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,"mixed Northern and Southern European ancestry | tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones | heavy",false,false,false
61,person_060,male,42,30-45,white,Balkan European ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","very lean, skinny face with hollow cheeks, visible cheekbone planes, narrow neck, and minimal under-chin fullness",lean,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Balkan European ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | lean",false,false,false
62,person_032,male,30,30-45,white,Balkan European ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Balkan European ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | heavy",false,false,false
63,person_015,male,27,18-29 young men,white,Southern European ancestry,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","mild but visible outdoor sun exposure: uneven tan on forehead, nose, and cheekbones, small freckles or dark spots, realistic pores; keep the person their stated young adult age","average-light build: modest facial fullness, clear jaw contour, and medium-thin neck",mid,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"Southern European ancestry | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | mid",false,false,false
64,person_063,male,67,46-80,white,Ashkenazi Jewish European ancestry,"light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","average-light build: modest facial fullness, clear jaw contour, and medium-thin neck",mid,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,"Ashkenazi Jewish European ancestry | light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation | mid",false,false,false
65,person_043,male,37,30-45,white,Southern European ancestry,"light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","very heavy-set build: round cheeks, reduced jaw definition, broad neck, and pronounced submental fullness",heavy,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,"Southern European ancestry | light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation | heavy",false,false,false
66,person_040,male,38,30-45,white,Central Mediterranean ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Central Mediterranean ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | mid",false,false,false
67,person_069,male,74,46-80,white,Caucasus-region ancestry with fair-to-olive complexion,"light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","stocky build: dense neck, broad lower face, softened chin transition, and moderate facial fat",heavy,"long philtrum, thin uneven lips, and asymmetrical cheek fullness","ordinary face with asymmetry, large pores, and uneven complexion","Caucasus-region ancestry with fair-to-olive complexion | light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture | heavy",false,false,false
68,person_023,male,33,30-45,white,Scandinavian ancestry,"light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","gaunt-skinny build: hollow cheeks, narrow temples, prominent facial bones, thin neck, and dry weathered texture",lean,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,"Scandinavian ancestry | light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation | lean",false,false,false
69,person_037,male,39,30-45,white,Scandinavian ancestry,"tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,"Scandinavian ancestry | tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones | lean",false,false,false
70,person_007,male,27,18-29 young men,hispanic_latino,Caribbean Latino ancestry,golden beige skin,"noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged","very heavy-set build: round cheeks, reduced jaw definition, broad neck, and pronounced submental fullness",heavy,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,hispanic_latino | heavy,false,false,false
71,person_072,male,60,46-80,white,Eastern European ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","very lean, skinny face with hollow cheeks, visible cheekbone planes, narrow neck, and minimal under-chin fullness",lean,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Eastern European ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | lean",false,false,false
72,person_091,female,53,46-80,white,Ashkenazi Jewish European ancestry,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","very heavy-set build: round cheeks, reduced jaw definition, broad neck, and pronounced submental fullness",heavy,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,"Ashkenazi Jewish European ancestry | fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness | heavy",false,false,false
73,person_071,male,53,46-80,white,Southern European ancestry,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","gaunt-skinny build: hollow cheeks, narrow temples, prominent facial bones, thin neck, and dry weathered texture",lean,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,"Southern European ancestry | fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness | lean",false,false,false
74,person_033,male,35,30-45,white,Northwestern European ancestry,"light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","stocky build: dense neck, broad lower face, softened chin transition, and moderate facial fat",heavy,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,"Northwestern European ancestry | light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation | heavy",false,false,false
75,person_034,male,40,30-45,white,Central European ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance","Central European ancestry | warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks | heavy",false,false,false
76,person_025,male,43,30-45,white,mixed Northern and Southern European ancestry,"medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,"mixed Northern and Southern European ancestry | medium olive skin, Fitzpatrick type III-IV, olive undertone, noticeable tan, uneven pigmentation from sun exposure | lean",false,false,false
77,person_026,male,32,30-45,white,Central Mediterranean ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Central Mediterranean ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | lean",false,false,false
78,person_048,male,30,30-45,white,Central European ancestry,"pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","very lean, skinny face with hollow cheeks, visible cheekbone planes, narrow neck, and minimal under-chin fullness",lean,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,"Central European ancestry | pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines | lean",false,false,false
79,person_030,male,36,30-45,white,Eastern European ancestry,"light olive skin, Fitzpatrick type III, muted green-gold undertone, mild tan","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","heavy-set build: broad full face, soft jawline, thick neck, and visible under-chin fullness",heavy,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Eastern European ancestry | light olive skin, Fitzpatrick type III, muted green-gold undertone, mild tan | heavy",true,true,true
80,person_053,male,39,30-45,white,mixed Northern and Southern European ancestry,"light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","solid build: fuller cheeks, softened jaw corners, thicker neck, and subtle under-chin fullness",mid,"broad blunt nose, small narrow mouth, and softened lower-face definition",unpolished ordinary face with imperfect proportions,"mixed Northern and Southern European ancestry | light olive skin, Fitzpatrick type III, muted green-gold undertone, outdoor tan, mild hyperpigmentation | mid",false,false,false
81,person_077,male,60,46-80,white,Ashkenazi Jewish European ancestry,"tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","solid build: fuller cheeks, softened jaw corners, thicker neck, and subtle under-chin fullness",mid,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,"Ashkenazi Jewish European ancestry | tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones | mid",false,false,false
82,person_005,male,21,18-29 young men,hispanic_latino,Mexican ancestry,medium tan skin,"weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","solid build: fuller cheeks, softened jaw corners, thicker neck, and subtle under-chin fullness",mid,"bulbous nose tip, broad nostrils, and rough sun-textured cheeks",average-at-best attractiveness with no model-like symmetry,hispanic_latino | mid,false,false,false
83,person_018,male,24,18-29 young men,white,Balkan European ancestry,"pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines","mild but visible outdoor sun exposure: uneven tan on forehead, nose, and cheekbones, small freckles or dark spots, realistic pores; keep the person their stated young adult age","heavy-set build: broad full face, soft jawline, thick neck, and visible under-chin fullness",heavy,"narrow skull, prominent ears, and shallow cheeks",homely but realistic adult face,"Balkan European ancestry | pale freckled skin, Fitzpatrick type I, cool undertone, dense natural freckles and solar lentigines | heavy",false,false,false
84,person_097,female,60,46-80,white,Caucasus-region ancestry with fair-to-olive complexion,"tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","lean face with defined jawline, thin cheeks, taut neck, and little submental fat",lean,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,"Caucasus-region ancestry with fair-to-olive complexion | tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones | lean",false,false,false
85,person_036,male,34,30-45,white,Irish and British Isles ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","very lean, skinny face with hollow cheeks, visible cheekbone planes, narrow neck, and minimal under-chin fullness",lean,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Irish and British Isles ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | lean",false,false,false
86,person_047,male,41,30-45,white,Northwestern European ancestry,"tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","gaunt-skinny build: hollow cheeks, narrow temples, prominent facial bones, thin neck, and dry weathered texture",lean,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,"Northwestern European ancestry | tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones | lean",false,false,false
87,person_082,female,60,46-80,white,Central Mediterranean ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Central Mediterranean ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | heavy",false,false,false
88,person_084,female,74,46-80,white,Northern European ancestry,"warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","very lean, skinny face with hollow cheeks, visible cheekbone planes, narrow neck, and minimal under-chin fullness",lean,"soft sagging lower face, under-chin fullness, and flattened cheek contours","distinctive, awkward facial balance","Northern European ancestry | warm beige skin, Fitzpatrick type III, golden undertone, moderate farmer's tan, sun-exposed forehead and cheeks | lean",false,false,false
89,person_062,male,60,46-80,white,Central European ancestry,"fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples","long-term UV exposure: blotchy pigmentation, age spots on temples and cheeks, rough dry texture, deep laugh lines, and sun-weathered scalp and neck","slender build visible in the face: narrow cheeks, sharper chin, thin neck, and minimal facial padding",lean,"puffy under-eyes, weak jaw transition, and mottled complexion","rugged, tired, asymmetrical everyday face","Central European ancestry | fair beige skin, Fitzpatrick type II, neutral undertone, uneven light tan, sun spots on forehead and temples | lean",false,false,false
90,person_056,male,38,30-45,white,Northern European ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","large heavy face with soft cheek pads, wide lower face, thick neck, and natural folds at the base of the neck",heavy,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Northern European ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | heavy",false,false,false
91,person_070,male,46,46-80,white,Northern European ancestry,"very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks","heavily weathered older skin: uneven sun spots, broken capillaries, leathery cheek and forehead texture, under-eye bags, and visible skin laxity","obese facial build: very full cheeks, heavy lower face, thick neck, and strong under-chin fullness while remaining anatomically realistic",heavy,"uneven eye height, tired under-eye area, and slightly lopsided mouth corners",noticeably plain and not photogenic,"Northern European ancestry | very fair porcelain skin, Fitzpatrick type I, cool pink undertone, UV freckling, visible redness on nose and cheeks | heavy",false,false,false
92,person_059,male,37,30-45,white,Western European ancestry,"light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture","clear UV exposure: mottled tan, mild hyperpigmentation, rough cheek texture, early skin laxity, and realistic fine lines around eyes and mouth","gaunt-skinny build: hollow cheeks, narrow temples, prominent facial bones, thin neck, and dry weathered texture",lean,"long philtrum, thin uneven lips, and asymmetrical cheek fullness","ordinary face with asymmetry, large pores, and uneven complexion","Western European ancestry | light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture | lean",false,false,false
93,person_009,male,21,18-29 young men,white,Scandinavian ancestry,"light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture","mild but visible outdoor sun exposure: uneven tan on forehead, nose, and cheekbones, small freckles or dark spots, realistic pores; keep the person their stated young adult age","stocky build: dense neck, broad lower face, softened chin transition, and moderate facial fat",heavy,"long philtrum, thin uneven lips, and asymmetrical cheek fullness","ordinary face with asymmetry, large pores, and uneven complexion","Scandinavian ancestry | light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture | heavy",false,false,false
94,person_031,male,41,30-45,white,Western European ancestry,"fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness","outdoor-working adult skin: sun spots on temples and cheekbones, broken capillaries around the nose, dry patches, and moderate texture variation","very heavy-set build: round cheeks, reduced jaw definition, broad neck, and pronounced submental fullness",heavy,"low compact forehead, crowded facial proportions, and uneven smile-line depth",below-average conventional attractiveness while remaining realistic,"Western European ancestry | fair ivory skin, Fitzpatrick type I-II, neutral-pink undertone, sun-mottled cheeks, slight capillary redness | heavy",false,false,false
95,person_006,male,24,18-29 young men,hispanic_latino,Central American ancestry,warm brown skin,"mild but visible outdoor sun exposure: uneven tan on forehead, nose, and cheekbones, small freckles or dark spots, realistic pores; keep the person their stated young adult age","heavy-set build: broad full face, soft jawline, thick neck, and visible under-chin fullness",heavy,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive",hispanic_latino | heavy,false,false,false
96,person_016,male,18,18-29 young men,white,Eastern European ancestry,"ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries","noticeable sun exposure for a young adult: faint forehead lines, slight redness, a few sun freckles, dry skin texture on nose and cheeks; do not make them look middle-aged","average build: balanced cheek fullness, normal jaw contour, and medium neck thickness",mid,"receded chin, heavy upper eyelids, and coarse visible pores","weathered and rough-looking, not conventionally attractive","Eastern European ancestry | ruddy fair skin, Fitzpatrick type II, pink-red undertone, weathered sun exposure, broken capillaries | mid",false,false,false
97,person_087,female,60,46-80,white,Western European ancestry,"tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones","pronounced age-appropriate sun damage: solar lentigines, mottled pigmentation, deeper crow's feet, forehead wrinkles, coarse pores, and weathered neck texture","average-light build: modest facial fullness, clear jaw contour, and medium-thin neck",mid,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,"Western European ancestry | tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones | mid",false,false,false
98,person_039,male,33,30-45,white,mixed Northern and Southern European ancestry,"light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture","moderate sun damage: uneven pigmentation, early crow's feet, faint forehead lines, visible pores, and a slightly leathery nose-and-cheek texture","average-light build: modest facial fullness, clear jaw contour, and medium-thin neck",mid,"long philtrum, thin uneven lips, and asymmetrical cheek fullness","ordinary face with asymmetry, large pores, and uneven complexion","mixed Northern and Southern European ancestry | light neutral skin, Fitzpatrick type II-III, blotchy sun damage, coarse pores, uneven weathered texture | mid",false,false,false
99,person_017,male,21,18-29 young men,white,Western European ancestry,"tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones","weathered young adult skin from regular outdoor work: mild tan lines, uneven cheek coloration, pores, and subtle under-eye darkness while preserving age-appropriate firmness","solid build: fuller cheeks, softened jaw corners, thicker neck, and subtle under-chin fullness",mid,"gaunt temples, hollow cheeks, and dry weathered scalp skin",plain face with uneven features and tired skin,"Western European ancestry | tan white skin, Fitzpatrick type IV, golden-brown summer tan, sun-damaged forehead and cheekbones | mid",false,false,false
